#name,ra,dec,z_lens,z_source,zl_phot,zs_phot,Rein,lens_mag_i,source_mag_i,type,discovery,grade,Reference
222002+060506,335.008480,6.085260,-99.000,-99.000,0.39,-99.00,-99.00,18.89,-99.00,GG,CNN,B,"HOLISMOKES8 SuGOHI10 HOLISMOKES6+13"
121317+015311,183.323000,1.886400,-99.000,-99.000,0.41,2.44,-99.00,18.90,-99.00,CG,V,C,"SuGOHI5 LinKS"
163747+415624,249.449900,41.940000,-99.000,-99.000,0.34,1.05,-99.00,18.90,20.12,CG,V,C,SuGOHI5
094722-002327,146.842911,-0.390885,-99.000,-99.000,0.49,-99.00,-99.00,18.90,-99.00,GG,,B,HOLISMOKES8
225144-005537,342.933842,-0.927207,-99.000,-99.000,-99.00,-99.00,-99.00,18.90,22.00,GG,Y,C,SuGOHI1
020450-030334,31.208500,-3.059600,-99.000,-99.000,0.60,1.44,-99.00,18.90,20.53,CG,V,C,SuGOHI5
115140-011916,177.919100,-1.321200,-99.000,-99.000,0.37,0.91,-99.00,18.91,21.44,CG,V,C,SuGOHI5
123636-003539,189.150561,-0.594182,-99.000,-99.000,0.70,-99.00,-99.00,18.91,-99.00,GG,,A,HOLISMOKES8
084353+002229,130.972138,0.374985,-99.000,-99.000,0.44,-99.00,-99.00,18.91,-99.00,GG,V,C,SuGOHI6
145447+001614,223.698834,0.270831,-99.000,-99.000,-99.00,-99.00,-99.00,18.91,22.26,GG,Y,C,SuGOHI1
083856+020851,129.737200,2.147500,-99.000,-99.000,0.36,2.42,-99.00,18.91,22.34,CG,V,B,SuGOHI5
223934+034049,339.892440,3.680494,-99.000,-99.000,-99.00,-99.00,-99.00,18.92,22.04,GG,Y,C,SuGOHI2
140854+011017,212.228606,1.171399,-99.000,-99.000,0.37,-99.00,-99.00,18.92,-99.00,GG,,B,HOLISMOKES8
114258-003016,175.743896,-0.504605,-99.000,-99.000,-99.00,-99.00,-99.00,18.92,21.29,GG,Y,C,SuGOHI1
115952-001409,179.969663,-0.235986,-99.000,-99.000,0.72,-99.00,-99.00,18.92,-99.00,GG,V,C,SuGOHI6
015641-020202,29.171027,-2.034148,-99.000,-99.000,0.35,-99.00,-99.00,18.92,-99.00,GG,V,C,SuGOHI6
142031+002021,215.131126,0.339204,-99.000,-99.000,0.45,-99.00,-99.00,18.93,-99.00,GG,"CNN V",B,"SuGOHI10 SuGOHI6"
091617-021829,139.073403,-2.308148,-99.000,-99.000,0.54,-99.00,-99.00,18.93,-99.00,GG,VY,C,SuGOHI6
230320+000352,345.834110,0.064600,-99.000,-99.000,-99.00,-99.00,-99.00,18.93,21.76,GG,Y,C,SuGOHI2
023718-054755,39.327860,-5.798671,-99.000,-99.000,0.33,-99.00,-99.00,18.93,-99.00,GG,CNN,B,"HOLISMOKES8 HOLISMOKES6+13"
223211+005701,338.046200,0.950300,-99.000,-99.000,0.40,-99.00,-99.00,18.93,19.81,CG,V,B,SuGOHI5
224551+004746,341.462584,0.796162,0.522,-99.000,0.52,-99.00,-99.00,18.93,-99.00,GG,"CNN V",C,"SuGOHI10 SuGOHI6"
091024+035822,137.603600,3.972700,-99.000,-99.000,0.41,-99.00,-99.00,18.93,-99.00,GG,"CNN V",B,"HOLISMOKES6+13 SuGOHI5"
151336+433251,228.403210,43.547527,-99.000,-99.000,0.48,-99.00,-99.00,18.93,22.50,GG,"CNN Y",A,"HOLISMOKES8 SuGOHI10 HOLISMOKES6+13 SuGOHI2"
023722-063732,39.344900,-6.625700,-99.000,-99.000,0.40,1.31,-99.00,18.94,23.92,CG,"VY V",C,"SuGOHI5 SuGOHI6"
120436-001836,181.150593,-0.310260,-99.000,-99.000,0.38,-99.00,-99.00,18.94,-99.00,GG,V,C,"LinKS SuGOHI6"
023016-024444,37.570437,-2.745750,-99.000,-99.000,0.50,-99.00,-99.00,18.94,-99.00,GG,"VY CNN",B,"HOLISMOKES8 SuGOHI10 HOLISMOKES6+13 SuGOHI6"
223100+014409,337.753845,1.735959,-99.000,-99.000,-99.00,-99.00,-99.00,18.94,23.39,GG,Y,C,SuGOHI1
232408+011048,351.036580,1.180151,-99.000,-99.000,-99.00,-99.00,-99.00,18.94,21.57,GG,Y,C,SuGOHI2
023028-022021,37.618000,-2.339200,-99.000,-99.000,0.33,0.65,-99.00,18.94,21.28,CG,V,C,SuGOHI5
153344+435336,233.437080,43.893418,-99.000,-99.000,0.69,-99.00,-99.00,18.94,22.79,GG,"CNN Y",B,"HOLISMOKES6+13 SuGOHI10 SuGOHI2"
083531+035244,128.881500,3.878900,-99.000,-99.000,0.56,1.52,-99.00,18.95,23.79,CG,V,C,SuGOHI5
232547+003739,351.449980,0.627640,-99.000,-99.000,1.07,-99.00,-99.00,18.95,-99.00,GG,CNN,A,"HOLISMOKES8 SuGOHI10 HOLISMOKES6+13"
123803-011006,189.512600,-1.168590,-99.000,-99.000,0.33,-99.00,-99.00,18.95,-99.00,GG,CNN,B,"HOLISMOKES8 SuGOHI10"
231354-010448,348.477000,-1.080100,-99.000,-99.000,0.53,1.09,-99.00,18.95,20.82,CG,V,A,"RCS2 DES SuGOHI5"
090012-003816,135.053367,-0.637834,-99.000,-99.000,0.46,-99.00,-99.00,18.95,-99.00,GG,V,C,SuGOHI6
231702+010246,349.261000,1.046100,-99.000,-99.000,0.46,0.52,-99.00,18.95,19.91,CG,V,C,SuGOHI5
023941-043741,39.923500,-4.628200,-99.000,-99.000,0.31,-99.00,-99.00,18.95,-99.00,GG,V,C,SuGOHI5
160759+441924,241.997558,44.323364,-99.000,-99.000,0.51,-99.00,-99.00,18.96,-99.00,GG,V,C,SuGOHI6
015758-061426,29.494290,-6.240570,-99.000,-99.000,0.37,-99.00,-99.00,18.96,-99.00,GG,CNN,A,"HOLISMOKES8 SuGOHI10 HOLISMOKES6+13"
140714+000110,211.808789,0.019627,-99.000,-99.000,-99.00,-99.00,-99.00,18.96,22.49,GG,Y,C,SuGOHI1
115711-013850,179.297430,-1.647230,-99.000,-99.000,0.37,-99.00,-99.00,18.96,-99.00,GG,CNN,B,"HOLISMOKES8 SuGOHI10"
162836+432529,247.150178,43.424791,-99.000,-99.000,-99.00,-99.00,-99.00,18.96,22.15,GG,Y,C,SuGOHI1
092552+012502,141.469710,1.417386,-99.000,-99.000,-99.00,-99.00,-99.00,18.96,23.85,GG,Y,C,SuGOHI2
221315+034536,333.313660,3.760192,-99.000,-99.000,0.42,-99.00,-99.00,18.96,22.41,GG,"CNN Y",B,"HOLISMOKES8 HOLISMOKES6+13 SuGOHI2"
115214+000605,178.061041,0.101579,-99.000,-99.000,0.51,-99.00,-99.00,18.97,-99.00,GG,V,C,SuGOHI6
220642+041130,331.675125,4.191903,-99.000,-99.000,0.53,1.34,-99.00,18.97,25.68,CG,"K V",A,"More2012 SuGOHI5 More2016"
221622+021154,334.092703,2.198531,0.388,-99.000,0.39,-99.00,-99.00,18.97,-99.00,GG,"CNN V",C,"SuGOHI10 SuGOHI6"
023512-032149,38.802100,-3.363800,-99.000,-99.000,0.59,1.03,-99.00,18.97,20.86,CG,V,C,SuGOHI5
233113+003516,352.804990,0.588035,-99.000,-99.000,-99.00,-99.00,-99.00,18.97,20.86,GG,Y,C,SuGOHI2
164054+431740,250.226910,43.294579,-99.000,-99.000,-99.00,-99.00,-99.00,18.98,22.18,GG,Y,C,SuGOHI2
120105+010413,180.271541,1.070430,-99.000,-99.000,-99.00,-99.00,-99.00,18.98,22.21,GG,Y,C,SuGOHI1
232036-005510,350.152152,-0.919493,-99.000,-99.000,0.45,-99.00,-99.00,18.98,-99.00,GG,,B,HOLISMOKES8
143444-000948,218.686352,-0.163493,-99.000,-99.000,0.59,-99.00,-99.00,18.98,-99.00,GG,"CNN V",B,"HOLISMOKES8 HOLISMOKES13 LinKS SuGOHI6"
140705-011256,211.772524,-1.215786,-99.000,-99.000,0.71,-99.00,-99.00,18.99,23.40,GG,"VY CNN Y",A,"HOLISMOKES13 SuGOHI1 SuGOHI6 HOLISMOKES8 SuGOHI10"
231009+015726,347.538930,1.957454,-99.000,-99.000,0.59,1.55,-99.00,18.99,24.35,CG,"V Y",C,"SuGOHI5 SuGOHI2"
232228+010845,350.617500,1.145900,-99.000,-99.000,0.47,1.47,-99.00,18.99,26.20,CG,V,C,SuGOHI5
164024+424954,250.100800,42.831789,-99.000,-99.000,-99.00,-99.00,-99.00,19.00,21.51,GG,Y,C,SuGOHI2
023339-053048,38.416200,-5.513400,-99.000,-99.000,0.39,-99.00,-99.00,19.00,-99.00,CG,V,C,SuGOHI5
145123+440738,222.849630,44.127490,-99.000,-99.000,0.37,-99.00,-99.00,19.00,-99.00,GG,CNN,B,"HOLISMOKES8 SuGOHI10 HOLISMOKES6+13"
101726-003200,154.359065,-0.533372,-99.000,-99.000,0.31,-99.00,-99.00,19.00,-99.00,GG,,B,HOLISMOKES8
144950+005536,222.461200,0.926800,-99.000,-99.000,0.45,0.80,-99.00,19.00,20.23,CG,V,C,SuGOHI5
155522+424153,238.844275,42.698182,-99.000,-99.000,-99.00,-99.00,-99.00,19.00,21.95,GG,YC,C,SuGOHI1
152217+425738,230.571100,42.960700,-99.000,-99.000,0.35,-99.00,-99.00,19.01,23.91,CG,"CNN V",B,"HOLISMOKES8 SuGOHI5 HOLISMOKES6+13"
091045+015841,137.688702,1.978252,0.453,-99.000,0.43,-99.00,-99.00,19.01,-99.00,GG,V,C,SuGOHI6
022318-030345,35.825528,-3.062739,-99.000,-99.000,-99.00,-99.00,-99.00,19.01,22.40,GG,Y,C,SuGOHI1
144948+002901,222.451900,0.483700,-99.000,-99.000,0.59,1.45,-99.00,19.01,19.84,CG,V,C,SuGOHI5
011926+011404,19.862400,1.234700,-99.000,-99.000,0.66,1.34,-99.00,19.01,22.57,CG,V,C,SuGOHI5
143752-002631,219.470606,-0.442132,-99.000,-99.000,0.55,-99.00,-99.00,19.02,22.66,GG,"CNN Y",C,"SuGOHI1 SuGOHI10"
114324-005830,175.850834,-0.975222,0.501,-99.000,0.47,-99.00,-99.00,19.02,-99.00,GG,VY,C,SuGOHI6
221615+053245,334.065100,5.545900,-99.000,-99.000,0.39,2.00,-99.00,19.02,24.12,CG,V,C,SuGOHI5
150534+421104,226.392120,42.184694,-99.000,-99.000,0.71,-99.00,-99.00,19.02,21.81,GG,"CNN Y",B,"HOLISMOKES6+13 SuGOHI2"
120111+012636,180.297300,1.443500,-99.000,-99.000,0.59,1.35,-99.00,19.02,25.18,CG,V,B,"SuGOHI5 SuGOHI6"
022346-053418,35.942272,-5.571803,-99.000,-99.000,0.48,-99.00,1.47,19.02,22.68,GG,"K V",A,"Gavazzi2014 SL2S SuGOHI5 SuGOHI3"
011304+004955,18.267904,0.832131,-99.000,-99.000,0.60,-99.00,-99.00,19.03,-99.00,GG,,B,HOLISMOKES8
023051-020949,37.713477,-2.163688,-99.000,-99.000,0.55,-99.00,-99.00,19.03,-99.00,GG,V,C,SuGOHI6
022935-012243,37.399220,-1.378643,-99.000,-99.000,-99.00,-99.00,-99.00,19.03,23.00,GG,Y,C,SuGOHI2
225212+020335,343.053340,2.059896,-99.000,-99.000,-99.00,-99.00,-99.00,19.03,22.68,GG,Y,C,SuGOHI2
020809-043848,32.038088,-4.646675,-99.000,-99.000,0.59,-99.00,-99.00,19.03,-99.00,GG,VY,C,SuGOHI6
224836-012334,342.151469,-1.392819,-99.000,-99.000,0.41,-99.00,-99.00,19.03,-99.00,GG,,B,"HOLISMOKES8 DES"
023438-014153,38.658860,-1.698080,-99.000,-99.000,0.58,-99.00,-99.00,19.03,-99.00,GG,CNN,B,"HOLISMOKES8 SuGOHI10 HOLISMOKES6+13"
022151-064732,35.463238,-6.792426,-99.000,-99.000,0.44,-99.00,-99.00,19.04,22.10,CG,"K V Y",A,"More2012 SuGOHI1 SuGOHI6 More2016"
223949+004704,339.954685,0.784512,-99.000,-99.000,-99.00,-99.00,-99.00,19.04,22.03,GG,Y,C,SuGOHI1
091513+000833,138.805051,0.142592,-99.000,-99.000,0.48,-99.00,-99.00,19.04,-99.00,GG,"CNN V",B,"SuGOHI10 SuGOHI6"
084112+002737,130.301900,0.460500,-99.000,-99.000,0.42,1.00,-99.00,19.04,25.12,CG,V,C,"SuGOHI5 SuGOHI6"
145732-015917,224.385730,-1.988155,-99.000,-99.000,0.57,-99.00,-99.00,19.05,21.80,GG,"CNN YC",A,"HOLISMOKES6+13 SuGOHI1 SuGOHI10"
142640+000958,216.669337,0.166276,-99.000,-99.000,0.59,-99.00,-99.00,19.05,-99.00,GG,V,B,SuGOHI6
091155-004355,137.981500,-0.732100,-99.000,-99.000,0.53,-99.00,-99.00,19.05,20.33,CG,V,C,SuGOHI5
020241-064611,30.672475,-6.769788,-99.000,-99.000,0.48,-99.00,1.16,19.05,23.12,GG,"CNN YE",A,"SuGOHI1 HOLISMOKES8 SuGOHI10 SuGOHI3 HOLISMOKES6+13"
224932+031114,342.386470,3.187360,-99.000,-99.000,0.32,-99.00,-99.00,19.05,-99.00,GG,CNN,A,"HOLISMOKES8 SuGOHI10 HOLISMOKES6+13"
151814+441613,229.560165,44.270415,-99.000,-99.000,0.63,-99.00,-99.00,19.05,-99.00,GG,,B,HOLISMOKES8
121009-020518,182.540700,-2.088600,-99.000,-99.000,0.48,-99.00,-99.00,19.06,22.84,CG,V,C,SuGOHI5
085938-010213,134.908874,-1.037004,-99.000,-99.000,0.60,-99.00,-99.00,19.06,-99.00,GG,VY,B,"HOLISMOKES8 SuGOHI6"
231555+012906,348.979970,1.485014,-99.000,-99.000,0.46,1.76,-99.00,19.06,26.40,CG,"CNN V Y",B,"HOLISMOKES13 SuGOHI5 SuGOHI2"
231905-002600,349.774370,-0.433432,-99.000,-99.000,-99.00,-99.00,-99.00,19.06,21.97,GG,Y,C,SuGOHI2
232949+005359,352.454100,0.899800,-99.000,-99.000,0.54,2.27,-99.00,19.06,28.27,CG,V,C,SuGOHI5
160307+431421,240.780515,43.239353,-99.000,-99.000,0.68,-99.00,-99.00,19.06,-99.00,GG,"CNN V",B,"HOLISMOKES8 SuGOHI10 HOLISMOKES6+13 SuGOHI6"
232102+022108,350.258630,2.352278,-99.000,-99.000,-99.00,-99.00,-99.00,19.06,21.72,GG,Y,C,SuGOHI2
090234+015419,135.641730,1.905298,0.487,-99.000,0.45,-99.00,-99.00,19.06,-99.00,GG,V,C,SuGOHI6
020534-051007,31.392347,-5.168702,-99.000,-99.000,-99.00,-99.00,-99.00,19.06,22.53,GG,Y,C,SuGOHI1
090527+003524,136.363047,0.590118,-99.000,-99.000,0.38,-99.00,-99.00,19.06,-99.00,GG,"CNN V",C,"SuGOHI10 SuGOHI6"
121055+012928,182.732338,1.491352,-99.000,-99.000,0.58,-99.00,-99.00,19.06,-99.00,GG,,B,HOLISMOKES8
224511+041434,341.297300,4.242800,-99.000,-99.000,0.46,-99.00,-99.00,19.06,21.30,CG,V,C,SuGOHI5
141410+525048,213.542400,52.846900,-99.000,-99.000,0.40,0.47,-99.00,19.07,20.98,GG,V,C,SuGOHI5
150314+001017,225.811237,0.171429,0.458,-99.000,0.44,-99.00,-99.00,19.07,-99.00,GG,V,C,SuGOHI6
221236+065029,333.150600,6.841500,-99.000,-99.000,0.38,-99.00,-99.00,19.07,23.33,CG,V,B,SuGOHI5
022422-014946,36.093066,-1.829576,-99.000,-99.000,0.65,-99.00,-99.00,19.07,-99.00,GG,"VY CNN",B,"HOLISMOKES8 HOLISMOKES6+13 SuGOHI6"
155309+424424,238.289357,42.740049,-99.000,-99.000,0.45,-99.00,-99.00,19.07,-99.00,GG,V,C,SuGOHI6
221058-010020,332.742840,-1.005632,-99.000,-99.000,0.37,-99.00,-99.00,19.07,-99.00,GG,VY,C,SuGOHI6
120701-012745,181.757210,-1.462530,-99.000,-99.000,0.36,-99.00,-99.00,19.07,-99.00,GG,CNN,B,"HOLISMOKES8 SuGOHI10 HOLISMOKES6+13"
100120+030735,150.335200,3.126665,-99.000,-99.000,0.51,-99.00,-99.00,19.07,22.86,GG,Y,B,"HOLISMOKES8 SuGOHI2"
093506-020031,143.776110,-2.008874,-99.000,-99.000,-99.00,-99.00,-99.00,19.08,21.96,GG,Y,B,SuGOHI2
230219+004539,345.581760,0.760912,-99.000,-99.000,-99.00,-99.00,-99.00,19.08,21.51,GG,Y,C,SuGOHI2
145154+001620,222.978958,0.272342,-99.000,-99.000,0.42,-99.00,-99.00,19.08,-99.00,GG,V,C,SuGOHI6
000644+014123,1.685800,1.689900,-99.000,-99.000,0.33,-99.00,-99.00,19.09,-99.00,GG,"CNN V",B,"HOLISMOKES8 SuGOHI5 HOLISMOKES6+13"
015716-051513,29.318500,-5.253700,-99.000,-99.000,0.53,1.73,-99.00,19.09,25.98,CG,V,B,"HOLISMOKES8 SuGOHI5"
094750-011714,146.958890,-1.287300,-99.000,-99.000,0.32,-99.00,-99.00,19.09,-99.00,GG,CNN,B,"HOLISMOKES8 SuGOHI10"
122749+003459,186.955001,0.583093,-99.000,-99.000,0.39,-99.00,-99.00,19.09,-99.00,GG,,B,HOLISMOKES8
100530-000856,151.376400,-0.148900,-99.000,-99.000,0.33,2.39,-99.00,19.09,26.37,CG,V,C,SuGOHI5
232148-011948,350.450286,-1.330255,-99.000,-99.000,0.54,-99.00,-99.00,19.09,-99.00,GG,,B,HOLISMOKES8
094235-014732,145.649247,-1.792388,-99.000,-99.000,0.47,-99.00,-99.00,19.10,-99.00,GG,,B,HOLISMOKES8
094400-014944,146.002770,-1.829032,-99.000,-99.000,-99.00,-99.00,-99.00,19.10,22.29,GG,Y,C,SuGOHI2
091910+015115,139.792600,1.854200,-99.000,-99.000,0.67,1.41,-99.00,19.10,24.63,CG,V,C,SuGOHI5
224201+022810,340.504922,2.469615,-99.000,-99.000,0.41,-99.00,-99.00,19.10,22.33,GG,Y,A,"HOLISMOKES8 SuGOHI1"
231123+011451,347.849070,1.247769,-99.000,-99.000,-99.00,-99.00,-99.00,19.10,22.00,GG,Y,C,SuGOHI2
140345-021710,210.937845,-2.286200,-99.000,-99.000,0.58,-99.00,-99.00,19.10,21.83,GG,"CNN Y",B,"HOLISMOKES8 SuGOHI1 HOLISMOKES6+13"
100610+032310,151.541764,3.386273,-99.000,-99.000,0.55,-99.00,-99.00,19.11,-99.00,GG,,B,HOLISMOKES8
023448-034905,38.701829,-3.818137,0.507,-99.000,0.46,-99.00,-99.00,19.11,-99.00,GG,V,C,SuGOHI6
084534+024028,131.392267,2.674453,-99.000,-99.000,-99.00,-99.00,-99.00,19.11,21.83,GG,Y,C,SuGOHI1
163907+424611,249.779700,42.769700,-99.000,-99.000,0.47,1.14,-99.00,19.11,24.48,CG,V,B,"HOLISMOKES8 SuGOHI5"
225324+015005,343.350000,1.834800,-99.000,-99.000,0.46,1.35,-99.00,19.12,19.41,CG,V,B,"HOLISMOKES8 SuGOHI5"
143210-004234,218.045160,-0.709580,-99.000,-99.000,0.39,-99.00,-99.00,19.12,-99.00,GG,CNN,B,"HOLISMOKES8 SuGOHI10"
135854+013610,209.726003,1.602809,-99.000,-99.000,0.48,-99.00,-99.00,19.12,-99.00,GG,,B,HOLISMOKES8
234117-002937,355.323048,-0.493887,-99.000,-99.000,0.54,-99.00,-99.00,19.12,-99.00,GG,"CNN Y",A,"HOLISMOKES8 SuGOHI8 SuGOHI10 HOLISMOKES13"
122341+001513,185.922910,0.253627,-99.000,-99.000,-99.00,-99.00,-99.00,19.12,22.06,GG,Y,C,SuGOHI2
140505-012930,211.271396,-1.491873,0.611,-99.000,0.62,-99.00,-99.00,19.12,-99.00,GG,VY,C,SuGOHI6
231416-000310,348.567200,-0.052900,-99.000,-99.000,0.27,-99.00,-99.00,19.12,22.43,CG,"CNN V",B,"HOLISMOKES8 SuGOHI5 HOLISMOKES6+13"
142111+000947,215.296600,0.163000,-99.000,-99.000,0.55,1.79,-99.00,19.13,23.40,CG,V,C,SuGOHI5
135155+010111,207.981770,1.019725,-99.000,-99.000,0.52,-99.00,-99.00,19.13,23.37,GG,"CNN Y",C,"SuGOHI10 SuGOHI2"
092000-011143,140.002930,-1.195282,0.524,-99.000,0.45,-99.00,-99.00,19.13,-99.00,GG,V,C,SuGOHI6
140036-003232,210.150728,-0.542384,-99.000,-99.000,-99.00,-99.00,-99.00,19.13,22.00,GG,Y,C,SuGOHI1
232433+013623,351.139300,1.606400,-99.000,-99.000,0.53,-99.00,-99.00,19.13,22.28,CG,V,C,SuGOHI5
020846-032727,32.195201,-3.457688,-99.000,-99.000,0.57,-99.00,-99.00,19.13,23.65,GG,Y,B,"HOLISMOKES8 SuGOHI1"
150112+422113,225.300700,42.353700,-99.000,-99.000,0.27,-99.00,-99.00,19.13,-99.00,GG,V,A,SuGOHI5
023149-031021,37.954231,-3.172648,-99.000,-99.000,0.59,-99.00,-99.00,19.13,-99.00,GG,V,B,"HOLISMOKES8 SuGOHI6"
022536-041517,36.403019,-4.254967,-99.000,-99.000,-99.00,-99.00,-99.00,19.13,21.87,GG,Y,C,"Gavazzi2014 DECaLS SuGOHI1"
091117-002455,137.821299,-0.415377,0.524,-99.000,0.53,-99.00,-99.00,19.13,-99.00,GG,V,C,SuGOHI6
115214+003126,178.059143,0.524024,-99.000,-99.000,0.46,2.01,-99.00,19.14,23.94,CG,"E CNN V",A,"HOLISMOKES6+13 SuGOHI1 SuGOHI5"
092228+002421,140.617452,0.406094,-99.000,-99.000,0.40,-99.00,-99.00,19.14,-99.00,GG,CNN,B,"HOLISMOKES8 HOLISMOKES6+13"
095539+024638,148.915230,2.777296,-99.000,-99.000,-99.00,-99.00,-99.00,19.14,21.79,GG,Y,C,SuGOHI2
023747-052804,39.449463,-5.467803,-99.000,-99.000,0.38,1.00,-99.00,19.14,21.00,CG,"V Y",C,"SuGOHI1 SuGOHI5"
232833+024214,352.138499,2.703995,-99.000,-99.000,0.52,-99.00,-99.00,19.14,-99.00,GG,"CNN Y",A,"HOLISMOKES8 SuGOHI8 SuGOHI10 HOLISMOKES13"
095418+023433,148.575590,2.575949,-99.000,-99.000,0.53,-99.00,-99.00,19.14,22.43,GG,"CNN Y",C,"SuGOHI10 SuGOHI2"
232211+000804,350.548270,0.134641,-99.000,-99.000,-99.00,-99.00,-99.00,19.14,21.61,GG,Y,C,SuGOHI2
123222-004236,188.094000,-0.710100,-99.000,-99.000,0.45,1.72,-99.00,19.15,22.74,CG,V,C,SuGOHI5
012558+001713,21.493877,0.287130,-99.000,-99.000,0.41,-99.00,-99.00,19.15,-99.00,GG,,B,HOLISMOKES8
084919-000848,132.329400,-0.146700,-99.000,-99.000,0.58,-99.00,-99.00,19.15,20.73,CG,V,C,SuGOHI5
090328+024807,135.870361,2.802163,-99.000,-99.000,-99.00,-99.00,-99.00,19.15,22.65,GG,Y,C,SuGOHI1
023159-031949,37.996383,-3.330325,-99.000,-99.000,-99.00,-99.00,-99.00,19.15,21.55,GG,Y,C,SuGOHI1
143135-015445,217.895963,-1.912766,-99.000,-99.000,0.51,-99.00,-99.00,19.16,-99.00,GG,,B,HOLISMOKES8
232602+014639,351.511100,1.777600,-99.000,-99.000,0.44,1.02,-99.00,19.16,22.85,CG,V,C,SuGOHI5
021905-060130,34.774900,-6.025100,-99.000,-99.000,0.36,0.70,-99.00,19.16,22.30,CG,V,C,SuGOHI5
221518-011405,333.827968,-1.234979,-99.000,-99.000,0.57,-99.00,-99.00,19.16,-99.00,GG,VY,C,SuGOHI6
141137+010720,212.907200,1.122200,0.462,-99.000,0.68,0.75,-99.00,19.16,21.00,CG,"VY CNN V",B,"SuGOHI5 SuGOHI6 HOLISMOKES8 SuGOHI10 LinKS HOLISMOKES6+13"
091307+035004,138.281800,3.834500,-99.000,-99.000,0.46,1.26,-99.00,19.16,21.73,CG,V,C,SuGOHI5
022042-022200,35.176705,-2.366798,-99.000,-99.000,0.61,1.59,-99.00,19.17,24.79,CG,"VY V Y",B,"HOLISMOKES8 SuGOHI1 SuGOHI5 SuGOHI6"
142449+004202,216.207500,0.700600,-99.000,-99.000,0.47,1.37,-99.00,19.17,25.45,CG,V,B,SuGOHI5
010757+012833,16.990124,1.475834,-99.000,-99.000,0.38,-99.00,-99.00,19.17,-99.00,GG,,B,HOLISMOKES8
090400+020814,136.002565,2.137501,-99.000,-99.000,-99.00,-99.00,-99.00,19.18,21.95,GG,Y,C,SuGOHI1
225016+000701,342.570221,0.117165,-99.000,-99.000,0.47,-99.00,-99.00,19.18,-99.00,GG,VY,C,SuGOHI6
020141-030946,30.424920,-3.162793,0.362,-99.000,0.42,-99.00,-99.00,19.18,22.12,GG,"CNN Y",A,"HOLISMOKES8 SuGOHI1 HOLISMOKES6+13"
091314+034848,138.311600,3.813500,-99.000,-99.000,0.48,1.08,-99.00,19.18,25.11,CG,V,C,SuGOHI5
023825-052048,39.604342,-5.346802,-99.000,-99.000,0.44,-99.00,-99.00,19.18,-99.00,GG,,B,HOLISMOKES8
083654+010152,129.225487,1.031237,-99.000,-99.000,-99.00,-99.00,-99.00,19.18,21.43,GG,Y,C,SuGOHI1
091431+052817,138.632731,5.471598,-99.000,-99.000,0.45,-99.00,-99.00,19.18,21.48,GG,"VY CNN Y",B,"HOLISMOKES6+13 SuGOHI1 SuGOHI6"
020801-044358,32.005489,-4.732572,-99.000,-99.000,0.67,1.34,-99.00,19.18,26.74,CG,V,C,SuGOHI5
223504-010746,338.769096,-1.129501,-99.000,-99.000,0.45,-99.00,-99.00,19.18,-99.00,GG,"CNN V",C,"SuGOHI10 SuGOHI6"
122048+002145,185.201380,0.362774,-99.000,-99.000,0.39,-99.00,-99.00,19.19,22.58,GG,"CNN Y",B,"HOLISMOKES8 SuGOHI10 LinKS SuGOHI2"
083818+005853,129.575100,0.981600,-99.000,-99.000,0.39,1.09,-99.00,19.19,22.17,CG,V,C,SuGOHI5
142748+002743,216.952886,0.462175,-99.000,-99.000,-99.00,-99.00,-99.00,19.19,22.69,GG,Y,C,SuGOHI1
143419+433525,218.579278,43.590391,-99.000,-99.000,0.62,-99.00,-99.00,19.19,-99.00,GG,,B,HOLISMOKES8
142146+425245,215.445740,42.879260,-99.000,-99.000,-99.00,-99.00,-99.00,19.19,22.33,GG,Y,C,SuGOHI2
023929-041923,39.870961,-4.323193,-99.000,-99.000,-99.00,-99.00,-99.00,19.20,21.91,GG,Y,C,SuGOHI2
141556+010144,213.984967,1.028996,-99.000,-99.000,0.55,-99.00,-99.00,19.20,-99.00,GG,VY,C,SuGOHI6
134844+005101,207.183630,0.850404,-99.000,-99.000,-99.00,-99.00,-99.00,19.20,23.18,GG,Y,C,SuGOHI2
221921-003548,334.841398,-0.596833,-99.000,-99.000,-99.00,-99.00,-99.00,19.20,22.81,GG,Y,C,SuGOHI1
122816+013945,187.069450,1.662595,-99.000,-99.000,-99.00,-99.00,-99.00,19.20,20.66,GG,Y,C,SuGOHI2
164001+421438,250.004700,42.243900,-99.000,-99.000,0.66,0.98,-99.00,19.20,23.05,GG,"CNN V",B,"SuGOHI10 SuGOHI5"
095529+014911,148.873560,1.819996,-99.000,-99.000,-99.00,-99.00,-99.00,19.20,22.40,GG,Y,C,SuGOHI2
020126-021031,30.358980,-2.175530,-99.000,-99.000,-99.00,-99.00,-99.00,19.21,22.08,GG,Y,C,SuGOHI1
160253+433501,240.721200,43.583600,-99.000,-99.000,0.45,-99.00,-99.00,19.21,-99.00,CG,V,B,SuGOHI5
223518-004747,338.826292,-0.796471,-99.000,-99.000,1.56,-99.00,-99.00,19.21,22.40,CG,"CNN Y",A,"HOLISMOKES6+13 SuGOHI1"
020929-064311,32.372208,-6.719794,-99.000,-99.000,0.41,1.84,-99.00,19.21,25.96,CG,"CNN K V",A,"More2012 SuGOHI5 HOLISMOKES8 More2016 HOLISMOKES6+13 DES"
